lemma,upos,us,uk,count
of,ADP,/ˈəv/,/ˈɒv/,13151942776
and,CCONJ,/ˈænd/,/ˈænd/,12997637966
to,ADP,/ˈtu/,/tˈuː/,12136980858
in,ADP,/ˈɪn/,/ˈɪn/,8469404971
for,ADP,/ˈfɔɹ/,/fˈɔː/,5933321709
on,ADP,/ˈɑn/,/ˈɒn/,3750423199
that,PRON,/ˈðæt/,/ðˈæt/,3400031103
by,ADP,/ˈbaɪ/,/bˈa‍ɪ/,3350048871
this,PRON,/ˈðɪs/,/ðˈɪs/,3228469771
with,ADP,/ˈwɪð/,/wˈɪð/,3183110675
you,PRON,/ˈju/,/jˈuː/,2996181025
it,PRON,/ˈɪt/,/ˈɪt/,2813163874
not,PART,/ˈnɑt/,/nˈɒt/,2633487141
or,CCONJ,/ˈɔɹ/,/ˈɔː/,2590739907
be,X,/ˈbi/,/bˈiː/,2398724162
from,ADP,/ˈfɹəm/,/fɹˈɒm/,2275595356
at,ADP,/ˈæt/,/ˈæt/,2272272772
all,DET,/ˈɔɫ/,/ˈɔːl/,2022459848
new,ADJ,/ˈnju/,/njˈuː/,1551258643
more,ADJ,/ˈmɔɹ/,/mˈɔː/,1544771673
we,PRON,/ˈwi/,/wˈiː/,1390661912
will,AUX,/ˈwɪɫ/,/wˈɪl/,1356293641
home,ADV,/ˈhoʊm/,/hˈə‍ʊm/,1276852170
can,AUX,/ˈkæn/,/kˈæn/,1242323499
about,ADV,/əˈbaʊt/,/ɐbˈa‍ʊt/,1226734006
if,SCONJ,/ˈɪf/,/ˈɪf/,1134987907
page,NOUN,/ˈpeɪdʒ/,/pˈe‍ɪd‍ʒ/,1082121730
my,PRON,/ˈmaɪ/,/mˈa‍ɪ/,1059793441
search,VERB,/ˈsɝtʃ/,/sˈɜːt‍ʃ/,1024093118
free,ADJ,/ˈfɹi/,/fɹˈiː/,1014107316
but,CCONJ,/ˈbət/,/bˈʌt/,999899654
one,NUM,/ˈwən/,/wˈɒn/,993536631
other,ADJ,/ˈəðɝ/,/ˈʌðɐ/,978481319
information,NOUN,/ˌɪnfɝˈmeɪʃən/,/ˌɪnfəmˈe‍ɪʃən/,932594387
time,NOUN,/ˈtaɪm/,/tˈa‍ɪm/,908705570
they,PRON,/ˈðeɪ/,/ðˈe‍ɪ/,883223816
site,NOUN,/ˈsaɪt/,/sˈa‍ɪt/,844310242
up,ADV,/ˈəp/,/ˈʌp/,829969374
may,AUX,/ˈmeɪ/,/mˈe‍ɪ/,827822032
what,PRON,/ˈhwət/,/wˈɒt/,812395582
which,PRON,/ˈhwɪtʃ/,/wˈɪt‍ʃ/,810514085
news,NOUN,/ˈnjuz/,/njˈuːz/,755424983
out,ADV,/ˈaʊt/,/ˈa‍ʊt/,741601852
any,DET,/ˈɛni/,/ˈɛni/,710741293
there,ADV,/ˈðɛɹ/,/ðˈe‍ə/,701170205
see,VERB,/ˈsi/,/sˈiː/,681410380
only,ADV,/ˈoʊnɫi/,/ˈə‍ʊnli/,661844114
so,ADV,/ˈsoʊ/,/sˈə‍ʊ/,661809559
when,ADV,/ˈhwɛn/,/wˈɛn/,650621178
here,ADV,/ˈhiɹ/,/hˈi‍ə/,639711198
business,NOUN,/ˈbɪznəs/,/bˈɪznəs/,637134177
who,PRON,/ˈhu/,/hˈuː/,630927278
web,NOUN,/ˈwɛb/,/wˈɛb/,619571575
also,ADV,/ˈɔɫsoʊ/,/ˈɒlsə‍ʊ/,616829742
now,ADV,/ˈnaʊ/,/nˈa‍ʊ/,611387736
help,VERB,/ˈhɛɫp/,/hˈɛlp/,611054034
get,VERB,/ˈɡɛt/,/ɡˈɛt/,605984508
view,NOUN,/ˈvju/,/vjˈuː/,602279334
online,ADV,/ˈɔnˌɫaɪn/,/ˈɒnla‍ɪn/,601317059
e,NOUN,/ˈi/,/ˈiː/,593086170
first,ADV,/ˈfɝst/,/fˈɜːst/,578161543
would,PROPN,/ˈwʊd/,/wˈʊd/,572644147
how,ADV,/ˈhaʊ/,/hˈa‍ʊ/,571848080
some,DET,/ˈsəm/,/sˈʌm/,548829454
these,PRON,/ˈðiz/,/ðˈiːz/,541003982
click,VERB,/ˈkɫɪk/,/klˈɪk/,536746424
its,PRON,/ˈɪts/,/ˈɪts/,525627757
like,INTJ,/ˈɫaɪk/,/lˈa‍ɪk/,520585287
service,NOUN,/ˈsɝvəs/,/sˈɜːvɪs/,519537222
x,NOUN,/ˈɛks/,/ˈɛks/,508609523
than,ADP,/ˈðæn/,/ðˈɐn/,502609275
find,VERB,/ˈfaɪnd/,/fˈa‍ɪnd/,502043038
price,NOUN,/ˈpɹaɪs/,/pɹˈa‍ɪs/,501651226
date,NOUN,/ˈdeɪt/,/dˈe‍ɪt/,488967374
back,ADV,/ˈbæk/,/bˈæk/,488024109
top,ADJ,/ˈtɑp/,/tˈɒp/,484213771
people,NOUN,/ˈpipəɫ/,/pˈiːpə‍l/,480303376
list,NOUN,/ˈɫɪst/,/lˈɪst/,472590641
name,NOUN,/ˈneɪm/,/nˈe‍ɪm/,464532702
just,ADV,/ˈdʒəst/,/d‍ʒˈʌst/,462836169
over,ADV,/ˈoʊvɝ/,/ˈə‍ʊvɐ/,459222855
state,NOUN,/ˈsteɪt/,/stˈe‍ɪt/,453104133
year,NOUN,/ˈjɪɹ/,/jˈi‍ə/,451092583
day,NOUN,/ˈdeɪ/,/dˈe‍ɪ/,446236148
into,ADP,/ˈɪntu/,/ˈɪntʊ/,445315294
two,NUM,/ˈtu/,/tˈuː/,441398439
health,NOUN,/ˈhɛɫθ/,/hˈɛlθ/,440416431
world,NOUN,/ˈwɝɫd/,/wˈɜːld/,431934249
next,ADV,/ˈnɛks/,/nˈɛkst/,425903347
go,VERB,/ˈɡoʊ/,/ɡˈə‍ʊ/,421086358
b,VERB,/ˈbi/,/bˈiː/,419765694
work,NOUN,/ˈwɝk/,/wˈɜːk/,419483948
last,ADJ,/ˈɫæs/,/lˈɑːst/,417601616
most,ADJ,/ˈmoʊs/,/mˈə‍ʊst/,416210411
music,NOUN,/ˈmjuzɪk/,/mjˈuːzɪk/,414028837
buy,NOUN,/ˈbaɪ/,/bˈa‍ɪ/,410780176
data,NOUN,/ˈdætə/,/dˈe‍ɪtɐ/,406908328
make,VERB,/ˈmeɪk/,/mˈe‍ɪk/,405084642
should,AUX,/ˈʃʊd/,/ʃˈʊd/,402028056
product,NOUN,/ˈpɹɑdəkt/,/pɹˈɒdʌkt/,399116355
system,NOUN,/ˈsɪstəm/,/sˈɪstəm/,396975018
post,VERB,/ˈpoʊst/,/pˈə‍ʊst/,392956436
city,NOUN,/ˈsɪti/,/sˈɪti/,390564835
t,NOUN,/ˈti/,/tˈiː/,388448018
add,VERB,/ˈæd/,/ˈæd/,387231739
policy,NOUN,/ˈpɑɫəsi/,/pˈɒlɪsi/,384401868
such,ADJ,/ˈsətʃ/,/sˈʌt‍ʃ/,380725892
please,INTJ,/ˈpɫiz/,/plˈiːz/,380046348
available,ADJ,/əˈveɪɫəbəɫ/,/ɐvˈe‍ɪləbə‍l/,379644437
copyright,NOUN,/ˈkɑpiˌɹaɪt/,/kˈɒpɪɹˌa‍ɪt/,373906735
support,NOUN,/səˈpɔɹt/,/səpˈɔːt/,373512569
message,NOUN,/ˈmɛsədʒ/,/mˈɛsɪd‍ʒ/,373081242
after,ADP,/ˈæftɝ/,/ˈɑːftɐ/,372948094
best,ADJ,/ˈbɛst/,/bˈɛst/,371852748
software,NOUN,/ˈsɔfˌwɛɹ/,/sˈɒftwe‍ə/,370517038
then,ADV,/ˈðɛn/,/ðˈɛn/,369928941
good,ADJ,/ˈɡʊd/,/ɡˈʊd/,365796396
